NAICS,capability,adoption,naics4
485300,0.3211008002945176,0.10413639475185395,4853
485400,0.1903703577275653,0.016580080912513343,4854
485500,0.2030311715298844,0.03917579847053532,4855
485900,0.24428085044333506,0.06336396874397067,4859
486100,0.2824420944317338,0.08451332082551595,4861
486200,0.238270007997894,0.0726769552238806,4862
486900,0.22100991416360585,0.054030698529411766,4869
487100,0.27834992827753985,0.109164409221902,4871
487200,0.24149678335294342,0.08490755422587884,4872
487900,0.29568256960901895,0.1177107594936709,4879
488100,0.22423525902693253,0.09318353151010701,4881
488200,0.15952347549713414,0.041189367288002106,4882
488300,0.21188130577424463,0.05789349377191921,4883
488400,0.2513371502037153,0.08265346412662307,4884
488500,0.4455977703025521,0.16060588916689836,4885
488900,0.2701632588239461,0.1139694952681388,4889
491100,0.2992772601449281,0.014986201583424853,4911
492100,0.17698179784093157,0.019733102596938126,4921
492200,0.25516297275777877,0.02717670171867933,4922
493100,0.17895772250586292,0.038130718912298155,4931
512100,0.3361606047362291,0.12060825571286636,5121
512200,0.4440899626739886,0.2073642898217366,5122
513100,0.5212504703649641,0.2670909439159816,5131
513200,0.5214718324046944,0.3168258427731879,5132
516100,0.4953459976497683,0.1732946747186385,5161
516200,0.5061579914940346,0.2484134859189006,5162
517000,0.41521653106332074,0.21272671369734533,5170
518200,0.5283551329977256,0.3301042878093065,5182
519200,0.5058744236443875,0.2775118052395501,5192
521100,0.515089420180468,0.2707352623039482,5211
5220A1,0.5064022230022823,0.2716733763759744,5220
522200,0.5327353287718115,0.2930029089402258,5222
523000,0.5537455092902364,0.357804917621477,5230
524100,0.5181209396931059,0.266204653198596,5241
524200,0.5301011595867866,0.3080632857589939,5242
525100,0.5055707119160966,0.2697552032520325,5251
525900,0.49457608932975555,0.33423468786808014,5259
531000,0.3560191753104181,0.18320074147840437,5310
5320A1,0.33246260381496673,0.13596548705075615,5320
532100,0.35841613892235075,0.13626552429667518,5321
533100,0.5019619576587225,0.2912982798165138,5331
541100,0.5058315957538576,0.21568289814514047,5411
541200,0.4957619809936623,0.3059870040493711,5412
541300,0.43577952338948794,0.12052058358010823,5413
541400,0.4013322208023032,0.1834370044732377,5414
541500,0.5195689471662975,0.31030957654870256,5415
541600,0.48445954392538443,0.2703672780142694,5416
541700,0.46994017293070156,0.17789748604320538,5417
541800,0.5092207638075285,0.2724912867621855,5418
541900,0.3650285272610344,0.19169538616212023,5419
551100,0.4839019319321283,0.26005277598930215,5511
561100,0.4896333546390946,0.29278836056845636,5611
561200,0.2035140796754136,0.06344929286335944,5612
561300,0.2731554000055344,0.13022270082235976,5613
561400,0.5511622808356959,0.42122864063787907,5614
561500,0.5223395323612334,0.34082113821138205,5615
561600,0.2765187512341135,0.034241916710443646,5616
561700,0.11878007512530486,0.041592292287757,5617
561900,0.3089894433520441,0.10325881205673758,5619
562100,0.23973199710811724,0.06124540107983031,5621
562200,0.24217890369758735,0.06932884332281809,5622
562900,0.2123245291064417,0.07356889461660125,5629
611100,0.3112780254784114,0.15295708498300692,6111
611200,0.43496123260464015,0.21595064159795527,6112
611300,0.4280906401725382,0.19832030341098397,6113
611400,0.5165792983850823,0.285249243526331,6114
611500,0.4247239263190553,0.18827909031174708,6115
611600,0.3599057855499943,0.15377252874465328,6116
611700,0.4443814704899705,0.251585382989963,6117
621100,0.3498155037846458,0.14565500965579917,6211
621200,0.25316766159717774,0.11235565070131462,6212
621300,0.3475905222351448,0.1127722398979158,6213
621400,0.351944383473782,0.11972232819854103,6214
621500,0.35470094707640515,0.1489239129497953,6215
621600,0.3459327125121173,0.10707341181246194,6216
621900,0.30309906176756707,0.0969439109900617,6219
622100,0.31595908479014434,0.09167511250627396,6221
622200,0.32354361034975204,0.07518491698885603,6222
622300,0.32837393883794097,0.09279309733328871,6223
623100,0.21462007574397154,0.03956745779116767,6231
623200,0.3492129545194682,0.09524594957872996,6232
623300,0.21684600288266637,0.053479442565724886,6233
623900,0.34573012414568977,0.08572723214285714,6239
624100,0.38020941858359686,0.11880555624227442,6241
624200,0.36792477399872325,0.11906173032718737,6242
624300,0.3435096814801264,0.11604721706398995,6243
624400,0.33645162075079266,0.033077726587368066,6244
711100,0.2976917322752505,0.10355087251390688,7111
711200,0.29776138613708547,0.10696511059670782,7112
711300,0.2983961623481725,0.10664238366624246,7113
711400,0.43783657278890703,0.22643400091033228,7114
711500,0.4160174983159985,0.18564285714285714,7115
712100,0.37125624407961705,0.17332004503055645,7121
713100,0.28683959888978205,0.07280440804866635,7131
713200,0.2695937493596525,0.07381237221613726,7132
713900,0.2789092620778019,0.0838040602721744,7139
721100,0.2153059429710884,0.05943082324067653,7211
721200,0.27137299051028335,0.11212724448586517,7212
721300,0.1808405172358088,0.057274649532710276,7213
722300,0.16862218154531589,0.03210357861382154,7223
722400,0.1714798853605713,0.01907944689497943,7224
722500,0.16112032173114899,0.018716639642459242,7225
811100,0.1685568998934683,0.06875501782067198,8111
811200,0.35167340492555993,0.15365298473456368,8112
811300,0.23125206345995816,0.08278917607621736,8113
811400,0.20346872594656223,0.08860313483570438,8114
812100,0.1742643026956355,0.08006256781441855,8121
812200,0.27600077973376785,0.09295566592498411,8122
812300,0.19365545744281756,0.06561540418315431,8123
812900,0.25545124411168263,0.07579790073474284,8129
813100,0.3467270189565079,0.1598010553790286,8131
813200,0.48313279603528053,0.22056540671512634,8132
813300,0.4421352121361251,0.18037625543267785,8133
813400,0.3045330705225284,0.0993664735763301,8134
813900,0.4493010506179307,0.21077666578242943,8139
999100,0.42639392655213704,0.13059714605597963,9991
999200,0.40780882346714437,0.13272260803934227,9992
999300,0.3194183957146,0.1000221453268435,9993
